Eurythmics - Sweet Dreams (Are Made of This),https://www.youtube.com/watch?v=qeMFqkcPYcg,7.5,Skud ud til våde drømme,,,,,
Daler Mehndi - Tunak Tunak Tun,https://www.youtube.com/watch?v=vTIIMJ9tUc8,27,Skud ud til Indere,,,,,
Rasmus Sedak - Lidt i Fem,https://soundcloud.com/tryllebanden/rasmus-sedak-lidt-i-fem,32,Skud ud til at starte på fagprojekt i 3-ugers,"0:32, når han siger klokken var lidt i fem",,,,
Pattesutter - Technopiik,https://soundcloud.com/pattesutter/technopiik,0,Skud ud til idiotprojekter,,,,,
Toto - Africa,https://www.youtube.com/watch?v=FTQbiNvZqaY,34,Skud ud til artopistol,Start 0:35,,,,
Min store kærlighed,https://www.youtube.com/watch?v=HtvkFI1q5-U,58,ALLE. PDF'ER. ER ULOVLIGE,Indspilles af Thea,,,,
Krumme sangen,https://www.youtube.com/watch?v=eEpKctYe5bA,19,Skud ud til leftovers ,,,,,
Tramper Torben - Hjulene på bussen,https://soundcloud.com/tramperentorben/hjulene-pa-bussen-korer-rundt-remix-velkommen-til-torbens-legestue,6,Skud ud til offentlig transport,,,,,
Freitag,https://www.youtube.com/watch?v=6UzP4QPA5Kg,7,Skud ud til at citere sig selv i citatchatten,,,,,
Manuel - Sun in the Rain,https://www.youtube.com/watch?v=t16ZR9sr2jo,25,Skud ud til bingo,Start ved 0:25,,,,
Britney Spears - Toxic,https://www.youtube.com/watch?v=LOZuxwVk7TU,11.8,Skud ud til at være giftig,,,,,
D-Devils - Dance with the Devil,https://www.youtube.com/watch?v=XBv0D3k1fsA,80,Skud til at bunde og starte forfra,Femte øl (Start ved 1:20),,,,
Thin Lizzy - Boys Are Back In Town,https://www.youtube.com/watch?v=hQo1HIcSVtg,48.7,Skud ud til presserene,,,,,
Queen - Another One Bites The Dust,https://www.youtube.com/watch?v=rY0WxgSXdEE,28,Skud ud til førstehjælp,,,,,
Take on Me,https://www.youtube.com/watch?v=djV11Xbc914,30,"""Der stod 20 på tinder, men det passede bare ikke""",Indspilles af Mikkel Thang,,,,
Dirty Diana,https://www.youtube.com/watch?v=_HnYMVFmsEg,27.5,(this is a nasty fætter),,,,,
Don't Stop Believing,https://www.youtube.com/watch?v=1k8craCGpgs,65,Skud ud til løjhulen,,,,,
Markens Mafia - Smækker Dø'lækker Dobbeltdækker,https://www.youtube.com/watch?v=DQtNXNuUlFE,17,Skud ud til Lolland,Start 0:17,,,,
Foster The People - Pumped up Kicks,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,38,Skud ud til fernetguns,,,,,
Bubbibjørnene - Intro,https://www.youtube.com/watch?v=VEVDcuqW01Y,0,Skud ud til trylledrik,,,,,
David Hasselhoff - True Survivor ,https://www.youtube.com/watch?v=ZTidn2dBYbY,55,Skud ud til citater i spamchatten,,,,,
Lil Pump - Gucci Gang,https://www.youtube.com/watch?v=4LfJnj66HVQ,17,Skud ud til Gucci,,,,,
Private - My Secret Lover,https://www.youtube.com/watch?v=UadiCPaVHUU,17,Skud ud til interne scoringer,,,,,
Daze - Together forever,https://www.youtube.com/watch?v=W8VhFor9zYU,51,Skud ud til Tamagotchi,Udkom i 1996. Oiwambam skal med,,,,
Hvor er du bro?,https://www.youtube.com/watch?v=TBElYMDycWk,10,Skud ud til Michael,,,,,
Shubidua - Hvalen hvalborg,https://www.youtube.com/watch?v=mojzNb4fozA,3,Skud ud til søens folk,,,,,
Das Beer Boot,https://www.youtube.com/watch?v=zuDtACzKGRs,3.5,"""Jeg kom til at bruge ølbongen omvendt. Jeg var ude og knække mig og så kom den i vejen""",Indspilles af Felix,,,,
Skygg & Peckerhead - Kun gå 4 langsomt,https://www.youtube.com/watch?v=ZZFZHWSdC3M,24,Skud ud til at bunde den sjette øl for langsomt,Sjette øl,,,,
Left Outside Alone,https://www.youtube.com/watch?v=uzR5jM9UeJA,25,I ser sgu lidt slatne ud,Start ved 0:25,,,,
Manuel - Gas Gas Gas,https://www.youtube.com/watch?v=atuFSv2bLa8,52,Skud ud til rotter, arrrrrrg [Hilsen KABS,,,,
Det det - Sukkerchok,https://www.youtube.com/watch?v=qiHQZKZR9JE,7,Skud ud til sukker,der er støj i optagelsen,,,,
O-Zone Dragostea din tei,https://www.youtube.com/watch?v=2UByXynZDUw,69,Skud ud til sekretæren,,,,,
Nik og Jay - Hot,https://www.youtube.com/watch?v=YPV8LqSRSDg,15,(michael når man ikke har fået sin morgenbitter),,,,,
Basshunter - DotA,https://www.youtube.com/watch?v=8d44ykdKvCw,33,Skud ud til koffein,,,,,
Kernkraft 400,https://www.youtube.com/watch?v=bSJQLCImV18,35,Skud ud til hjorte,Start ved 0.45,,,,
Vi skal ikke være Kærester,https://www.youtube.com/watch?v=r8oQEsJ8gAQ,18.2,Skud ud til MGP,,,,,
Pitbull - International Love,https://www.youtube.com/watch?v=CdXesX6mYUE,23,Skud ud til Mr. 305,Mr. three-o-five tak,,,,
Arabiens Drøm,https://www.youtube.com/watch?v=S2O1tscwNlw,27.7,Skud ud til Anne Gadegård ,,,,,
Red Warszawa - Technoparty,https://www.youtube.com/watch?v=MznJ2ASGaWc,17,Skud ud til impulskøb af røgmaskiner,Husk at drikke vand ellers dør i start 0:17,,,,
Bring Det På – Ring Til Politiet,https://www.youtube.com/watch?v=ENwnbvclguY,48,Skud ud til politiet,,,,,
Stupid Man,https://www.youtube.com/watch?v=0LFr1T5Qgeg,14,"""Øh hvorfor hælder du øl ud på jorden?"" ""Det er en del af legen""",Indspilles af Viktor og Mikkel Kofoed,,,,
Den knald røde gummi båd,https://www.youtube.com/watch?v=oxWfTs1psoM,0,Skud ud til de kvindelige vektorer hvis fædre har købt en gummibåd,,,,,
De første kæreste på månen,https://www.youtube.com/watch?v=UxP58lcgvvc,25,Skud ud til Armstrong,,,,,
Midt om natten,https://www.youtube.com/watch?v=_rBeni3L7Gg,16,Skud ud til det er blevet mørkt nu,,,,,
Drømmer Jeg,https://www.youtube.com/watch?v=usn7Ue8r-F0,7,Skud ud mareridt,Syvende øl,,,,
Loland - Johnny Cola,https://www.youtube.com/watch?v=DMadyFZJtHM,34,Skud ud til OPtur18,,,,,
Drenge som mig,https://www.youtube.com/watch?v=SFiKwFukh44,1,Skud ud til drenge som dig,,,,,
Johnny Deluxe - Elskovspony,https://www.youtube.com/watch?v=wYuPn0CM8Ww,12,Skud ud til Johnny,,,,,
Vi vil have mer,https://www.youtube.com/watch?v=GBiellLF3FE,6,(er i ved at blive kvalt alle sammen),,,,,
I'm an Albatroz,https://www.youtube.com/watch?v=Bznxx12Ptl0,36,Skud ud til fugle,,,,,
Shots and Squats,https://www.youtube.com/watch?v=Cr4DDZqGm2k,16,Skud ud til squats,2,,,,
A Lillte Party Killed Nobody,https://www.youtube.com/watch?v=0ZgjmE6xdaw,18,Skud ud til at gå kold før 12,,,,,
On The Floor,https://www.youtube.com/watch?v=t4H_Zoh7G5A,43,Skud ud til gulvet,,,,,
Samsara,https://www.youtube.com/watch?v=_eVNU59Q_MU,45,Skud ud til at genopstå senere på aftenen,,,,,
Salsa tequilla,https://www.youtube.com/watch?v=PHCt2uHVe58,50,Skud ud til punkt tequila,,,,,
Final Countdown,https://www.youtube.com/watch?v=9jK-NcRmVcw,13,"Skud ud til at 2^7 ikke går op i et helt antal øl, så bund lige den sidste.",,,,,
